A 1262563200 2010 01 04 3138 3130 3113 3163 381550000 A, Agilent Technologies Inc, Santa Clara California
AAL 1262563200 2010 01 04 484 476 466 494 983730000 AAL, American Airlines Group, Fort Worth Texas
AAP 1262563200 2010 01 04 4070 4038 4036 4104 170170000 AAP, Advance Auto Parts, Roanoke Virginia
AAPL 1262563200 2010 01 04 21342 21400 21238 21449 12343240000 AAPL, Apple Inc., Cupertino California
ABC 1262563200 2010 01 04 2629 2662 2613 2669 245590000 ABC, AmerisourceBergen Corp, Chesterbrook Pennsylvania
ABT 1262563200 2010 01 04 5418 5445 5391 5455 1082900000 ABT, Abbott Laboratories, North Chicago Illinois
ACN 1262563200 2010 01 04 4152 4207 4150 4220 365010000 ACN, Accenture plc, Dublin Ireland
ADBE 1262563200 2010 01 04 3665 3709 3665 3729 471020000 ADBE, Adobe Systems Inc, San Jose California
ADI 1262563200 2010 01 04 3179 3167 3161 3218 210270000 ADI, Analog Devices, SemiconductorsNorwood
ADM 1262563200 2010 01 04 3148 3146 3133 3184 347250000 ADM, Archer-Daniels-Midland Co, Decatur Illinois
ADP 1262563200 2010 01 04 4354 4283 4270 4354 393010000 ADP, Automatic Data Processing, Roseland New Jersey
ADS 1262563200 2010 01 04 6500 6588 6495 6600 79430000 ADS, Alliance Data Systems, Plano Texas
ADSK 1262563200 2010 01 04 2561 2567 2561 2583 222860000 ADSK, Autodesk Inc, San Rafael California
AEE 1262563200 2010 01 04 2803 2776 2769 2827 129930000 AEE, Ameren Corp, St. Louis Missouri
AEP 1262563200 2010 01 04 3509 3493 3479 3600 407660000 AEP, American Electric Power, Columbus Ohio
AES 1262563200 2010 01 04 1338 1367 1338 1370 459760000 AES, AES Corp, Arlington Virginia
AET 1262563200 2010 01 04 3206 3300 3187 3308 567130000 AET, Aetna Inc, Hartford Connecticut
AFL 1262563200 2010 01 04 4650 4757 4650 4770 236200000 AFL, AFLAC Inc, Columbus Georgia
AGN 1262563200 2010 01 04 3970 4029 3970 4045 85640000 AGN, Allergan, PharmaceuticalsDublin
AIG 1262563200 2010 01 04 3053 2988 2941 3054 775090000 AIG, American International Group, Property & Casualty InsuranceNew York
AIZ 1262563200 2010 01 04 2970 3016 2961 3020 122820000 AIZ, Assurant Inc, New York New York
AJG 1262563200 2010 01 04 2260 2233 2228 2280 37930000 AJG, Arthur J. Gallagher & Co., Itasca Illinois
AKAM 1262563200 2010 01 04 2562 2592 2553 2605 301560000 AKAM, Akamai Technologies Inc, Cambridge Massachusetts
ALB 1262563200 2010 01 04 3690 3809 3690 3824 71290000 ALB, Albemarle Corp, Baton Rouge Louisiana
ALK 1262563200 2010 01 04 3482 3486 3440 3527 180240000 ALK, Alaska Air Group Inc, Seattle Washington
ALL 1262563200 2010 01 04 3036 3041 3009 3051 263100000 ALL, Allstate Corp, Northfield Township Illinois
ALXN 1262563200 2010 01 04 4900 4825 4786 4957 112820000 ALXN, Alexion Pharmaceuticals, Cheshire Connecticut
AMAT 1262563200 2010 01 04 1405 1430 1403 1457 1861510000 AMAT, Applied Materials Inc, Santa Clara California
AME 1262563200 2010 01 04 3844 3860 3844 3920 87670000 AME, AMETEK Inc, Berwyn Pennsylvania
AMG 1262563200 2010 01 04 6795 6887 6787 6905 30610000 AMG, Affiliated Managers Group Inc, Beverly Massachusetts
AMGN 1262563200 2010 01 04 5663 5772 5656 5786 527740000 AMGN, Amgen Inc, Thousand Oaks California
AMP 1262563200 2010 01 04 3909 3988 3891 3997 223870000 AMP, Ameriprise Financial, Minneapolis Minnesota
AMT 1262563200 2010 01 04 4349 4345 4327 4388 275050000 AMT, American Tower Corp A, Boston Massachusetts
AMZN 1262563200 2010 01 04 13625 13389 13313 13661 759990000 AMZN, Amazon.com Inc, Seattle Washington
AN 1262563200 2010 01 04 1945 1927 1920 1962 165040000 AN, AutoNation Inc, Fort Lauderdale Florida
ANTM 1262563200 2010 01 04 5868 5975 5838 5981 464180000 ANTM, Anthem Inc., Indianapolis Indiana
AON 1262563200 2010 01 04 3845 3793 3781 3850 340710000 AON, Aon plc, London United Kingdom
APA 1262563200 2010 01 04 10494 10587 10452 10645 236490000 APA, Apache Corporation, Houston Texas
APC 1262563200 2010 01 04 6359 6473 6347 6490 332450000 APC, Anadarko Petroleum Corp, The Woodlands Texas
